區域別,性別,總計,零歲,一歲,二歲,三歲,四歲,五歲,六歲,七歲,八歲,九歲,十歲,十一歲,十二歲,十三歲,十四歲,十五歲,十六歲,十七歲,十八歲,十九歲,二十歲,二一歲,二二歲,二三歲,二四歲,二五歲,二六歲,二七歲,二八歲,二九歲,三十歲,三一歲,三二歲,三三歲,三四歲,三五歲,三六歲,三七歲,三八歲,三九歲,四十歲,四一歲,四二歲,四三歲,四四歲,四五歲,四六歲,四七歲,四八歲,四九歲,五十歲,五一歲,五二歲,五三歲,五四歲,五五歲,五六歲,五七歲,五八歲,五九歲,六十歲,六一歲,六二歲,六三歲,六四歲,六五歲,六六歲,六七歲,六八歲,六九歲,七十歲,七一歲,七二歲,七三歲,七四歲,七五歲,七六歲,七七歲,七八歲,七九歲,八十歲,八一歲,八二歲,八三歲,八四歲,八五歲,八六歲,八七歲,八八歲,八九歲,九十歲,九一歲,九二歲,九三歲,九四歲,九五歲,九六歲,九七歲,九八歲,九九歲,一百歲以上
桃園市,男,"203,112 ",1513,"2,040 ","1,889 ","1,689 ","2,030 ","2,253 ","2,457 ","2,423 ","2,519 ","2,498 ","2,687 ","2,997 ","3,121 ","3,802 ","3,275 ","3,029 ","3,440 ","3,411 ","3,274 ","3,225 ","3,062 ","3,054 ","2,893 ","2,939 ","2,785 ","3,000 ","2,593 ","2,503 ","2,906 ","3,027 ","3,149 ","3,380 ","3,443 ","3,375 ","3,529 ","3,437 ","3,391 ","3,900 ","3,352 ","3,371 ","3,408 ","3,418 ","3,516 ","3,624 ","3,543 ","3,383 ","3,310 ","3,376 ","3,321 ","3,273 ","3,269 ","3,139 ","2,864 ","2,867 ","2,809 ","2,716 ","2,566 ","2,576 ","2,400 ","2,212 ","2,098 ","2,102 ","1,981 ","1,656 ","1,548 ","1,362 ","1,177 ",952 ,818 ,891 ,870 ,852 ,806 ,751 ,652 ,598 ,501 ,484 ,455 ,433 ,428 ,442 ,448 ,448 ,387 ,325 ,305 ,259 ,217 ,186 ,109 ,92 ,79 ,39 ,31 ,23 ,22 ,12 ,8 ,2 ,12 
桃園市,女 ,"212,302 ",1348,"1,867 ","1,796 ","1,569 ","1,930 ","1,997 ","2,159 ","2,167 ","2,300 ","2,414 ","2,475 ","2,887 ","2,873 ","3,430 ","3,087 ","2,771 ","3,229 ","3,054 ","2,989 ","2,891 ","2,940 ","2,655 ","2,723 ","2,787 ","2,482 ","2,777 ","2,412 ","2,401 ","2,720 ","2,972 ","3,237 ","3,487 ","3,655 ","3,666 ","3,955 ","3,918 ","3,856 ","4,342 ","3,958 ","3,950 ","3,767 ","3,900 ","4,018 ","4,162 ","4,064 ","3,841 ","3,579 ","3,854 ","3,756 ","3,704 ","3,648 ","3,434 ","3,364 ","3,130 ","3,125 ","3,083 ","2,828 ","2,900 ","2,747 ","2,633 ","2,522 ","2,321 ","2,280 ","2,010 ","1,816 ","1,528 ","1,337 ","1,076 ",923 ,"1,066 ","1,070 ",966 ,982 ,924 ,847 ,809 ,760 ,655 ,608 ,546 ,459 ,449 ,359 ,386 ,309 ,292 ,245 ,229 ,201 ,157 ,120 ,93 ,81 ,59 ,47 ,39 ,24 ,15 ,9 ,7 ,13 
中壢市,男,"188,475 ",1501,"1,992 ","1,773 ","1,499 ","1,859 ","1,983 ","2,134 ","2,128 ","2,061 ","2,247 ","2,212 ","2,343 ","2,553 ","2,834 ","2,688 ","2,531 ","2,887 ","2,913 ","2,950 ","2,906 ","2,868 ","2,801 ","2,834 ","2,997 ","2,741 ","2,842 ","2,619 ","2,562 ","2,907 ","3,057 ","3,215 ","3,318 ","3,416 ","3,282 ","3,466 ","3,372 ","3,234 ","3,676 ","2,999 ","2,968 ","3,062 ","3,091 ","3,153 ","3,079 ","3,169 ","3,004 ","2,830 ","2,993 ","3,011 ","2,930 ","2,914 ","2,909 ","2,736 ","2,728 ","2,584 ","2,454 ","2,301 ","2,462 ","2,283 ","2,134 ","1,982 ","1,880 ","1,818 ","1,404 ","1,433 ","1,149 ","1,036 ",858 ,718 ,787 ,829 ,721 ,723 ,665 ,582 ,567 ,523 ,470 ,452 ,451 ,543 ,674 ,720 ,802 ,812 ,635 ,551 ,417 ,403 ,241 ,176 ,115 ,102 ,82 ,37 ,39 ,32 ,13 ,11 ,10 ,17 
中壢市,女 ,"190,443 ",1360,"1,851 ","1,674 ","1,499 ","1,651 ","1,872 ","1,908 ","1,907 ","1,844 ","1,923 ","2,061 ","2,123 ","2,209 ","2,634 ","2,354 ","2,268 ","2,746 ","2,727 ","2,724 ","2,674 ","2,634 ","2,558 ","2,513 ","2,648 ","2,562 ","2,638 ","2,433 ","2,390 ","2,710 ","2,997 ","3,126 ","3,411 ","3,554 ","3,462 ","3,618 ","3,429 ","3,323 ","3,656 ","3,162 ","3,033 ","3,105 ","3,143 ","3,298 ","3,432 ","3,227 ","3,166 ","3,006 ","3,270 ","3,147 ","3,142 ","3,137 ","3,136 ","2,868 ","2,944 ","2,901 ","2,723 ","2,625 ","2,661 ","2,514 ","2,454 ","2,250 ","2,396 ","2,319 ","1,936 ","1,765 ","1,573 ","1,321 ","1,132 ",997 ,"1,073 ","1,136 ","1,076 ","1,008 ",938 ,928 ,793 ,707 ,647 ,572 ,538 ,450 ,411 ,414 ,380 ,329 ,315 ,215 ,214 ,210 ,151 ,126 ,108 ,65 ,47 ,42 ,25 ,23 ,13 ,13 ,6 ,16 
平鎮市,男,"105,878 ",801 ,"1,064 ",994 ,885 ,994 ,"1,127 ","1,141 ","1,151 ","1,122 ","1,232 ","1,273 ","1,383 ","1,446 ","1,756 ","1,629 ","1,463 ","1,663 ","1,673 ","1,721 ","1,728 ","1,681 ","1,695 ","1,709 ","1,764 ","1,644 ","1,738 ","1,569 ","1,492 ","1,687 ","1,849 ","1,945 ","2,019 ","2,099 ","1,955 ","2,087 ","1,973 ","1,731 ","1,967 ","1,696 ","1,642 ","1,615 ","1,620 ","1,722 ","1,655 ","1,629 ","1,563 ","1,492 ","1,545 ","1,540 ","1,566 ","1,592 ","1,601 ","1,480 ","1,510 ","1,449 ","1,435 ","1,318 ","1,324 ","1,312 ","1,211 ","1,124 ","1,129 ","1,031 ",838 ,782 ,657 ,541 ,498 ,396 ,471 ,403 ,401 ,375 ,364 ,283 ,284 ,277 ,239 ,201 ,238 ,265 ,277 ,344 ,379 ,381 ,341 ,283 ,216 ,159 ,100 ,67 ,51 ,37 ,22 ,18 ,11 ,8 ,7 ,6 ,2 ,5 
平鎮市,女 ,"105,268 ",753 ,"1,098 ",941 ,774 ,973 ,985 ,"1,074 ","1,038 ","1,017 ","1,023 ","1,153 ","1,260 ","1,374 ","1,520 ","1,444 ","1,341 ","1,575 ","1,547 ","1,557 ","1,528 ","1,528 ","1,477 ","1,523 ","1,598 ","1,430 ","1,546 ","1,451 ","1,429 ","1,697 ","1,759 ","1,735 ","1,959 ","2,015 ","1,925 ","1,954 ","1,940 ","1,749 ","1,917 ","1,634 ","1,640 ","1,655 ","1,726 ","1,630 ","1,712 ","1,704 ","1,685 ","1,572 ","1,679 ","1,727 ","1,788 ","1,722 ","1,717 ","1,672 ","1,630 ","1,678 ","1,623 ","1,522 ","1,550 ","1,521 ","1,403 ","1,387 ","1,299 ","1,264 ","1,020 ",941 ,785 ,683 ,588 ,510 ,555 ,499 ,481 ,490 ,428 ,381 ,385 ,345 ,284 ,246 ,243 ,198 ,222 ,176 ,174 ,144 ,143 ,115 ,108 ,68 ,72 ,52 ,47 ,41 ,24 ,16 ,20 ,10 ,13 ,3 ,4 ,7 
八德市,男,"90,786 ",677 ,881 ,885 ,704 ,850 ,853 ,842 ,907 ,906 ,881 ,997 ,"1,030 ",998 ,"1,313 ","1,211 ","1,180 ","1,336 ","1,362 ","1,393 ","1,333 ","1,395 ","1,392 ","1,340 ","1,482 ","1,337 ","1,485 ","1,372 ","1,307 ","1,554 ","1,640 ","1,742 ","1,801 ","1,859 ","1,797 ","1,823 ","1,742 ","1,650 ","1,724 ","1,485 ","1,470 ","1,459 ","1,444 ","1,416 ","1,478 ","1,459 ","1,390 ","1,235 ","1,330 ","1,377 ","1,252 ","1,377 ","1,318 ","1,255 ","1,293 ","1,247 ","1,216 ","1,133 ","1,192 ","1,129 ","1,077 ",996 ,"1,027 ",968 ,741 ,677 ,589 ,558 ,401 ,357 ,364 ,379 ,321 ,321 ,283 ,228 ,187 ,181 ,198 ,187 ,191 ,228 ,279 ,395 ,416 ,381 ,408 ,332 ,287 ,248 ,184 ,125 ,91 ,84 ,37 ,26 ,24 ,12 ,13 ,9 ,11 ,29 
八德市,女 ,"88,716 ",634 ,816 ,789 ,681 ,769 ,832 ,860 ,792 ,834 ,894 ,879 ,978 ,956 ,"1,146 ","1,025 ","1,027 ","1,263 ","1,181 ","1,284 ","1,258 ","1,208 ","1,283 ","1,236 ","1,318 ","1,300 ","1,416 ","1,295 ","1,178 ","1,403 ","1,529 ","1,583 ","1,694 ","1,672 ","1,729 ","1,672 ","1,619 ","1,553 ","1,647 ","1,415 ","1,336 ","1,308 ","1,381 ","1,363 ","1,398 ","1,308 ","1,405 ","1,323 ","1,424 ","1,456 ","1,444 ","1,529 ","1,495 ","1,483 ","1,377 ","1,445 ","1,433 ","1,345 ","1,394 ","1,324 ","1,314 ","1,184 ","1,193 ","1,112 ",965 ,826 ,765 ,647 ,500 ,442 ,481 ,418 ,484 ,367 ,359 ,369 ,316 ,307 ,252 ,221 ,197 ,185 ,161 ,166 ,133 ,118 ,95 ,84 ,90 ,79 ,57 ,40 ,42 ,43 ,25 ,18 ,15 ,6 ,6 ,4 ,5 ,6 
楊梅市,男,"79,079 ",624 ,901 ,780 ,675 ,809 ,793 ,910 ,831 ,868 ,938 ,"1,017 ","1,057 ","1,083 ","1,284 ","1,143 ","1,141 ","1,311 ","1,315 ","1,264 ","1,289 ","1,271 ","1,238 ","1,232 ","1,285 ","1,178 ","1,227 ","1,080 ","1,054 ","1,157 ","1,218 ","1,278 ","1,362 ","1,355 ","1,330 ","1,382 ","1,357 ","1,309 ","1,393 ","1,211 ","1,170 ","1,192 ","1,181 ","1,209 ","1,268 ","1,224 ","1,244 ","1,159 ","1,241 ","1,330 ","1,404 ","1,336 ","1,249 ","1,206 ","1,134 ","1,156 ","1,040 ","1,054 ","1,024 ",950 ,885 ,827 ,797 ,810 ,621 ,610 ,470 ,426 ,373 ,331 ,357 ,370 ,351 ,327 ,329 ,299 ,262 ,257 ,225 ,199 ,238 ,205 ,223 ,234 ,216 ,200 ,195 ,153 ,146 ,122 ,81 ,63 ,42 ,36 ,30 ,17 ,10 ,12 ,6 ,1 ,1 ,1 
楊梅市,女 ,"76,675 ",600 ,825 ,694 ,582 ,708 ,750 ,729 ,764 ,796 ,863 ,872 ,902 ,925 ,"1,138 ","1,080 ","1,003 ","1,219 ","1,203 ","1,324 ","1,148 ","1,174 ","1,100 ","1,104 ","1,147 ","1,032 ","1,166 ",986 ,961 ,"1,074 ","1,242 ","1,233 ","1,404 ","1,376 ","1,436 ","1,373 ","1,358 ","1,352 ","1,345 ","1,220 ","1,264 ","1,210 ","1,216 ","1,273 ","1,332 ","1,305 ","1,282 ","1,199 ","1,331 ","1,251 ","1,246 ","1,358 ","1,204 ","1,233 ","1,193 ","1,130 ",997 ,979 ,"1,038 ",934 ,889 ,788 ,788 ,813 ,622 ,589 ,483 ,416 ,370 ,320 ,349 ,364 ,392 ,434 ,351 ,362 ,318 ,286 ,310 ,260 ,231 ,213 ,190 ,205 ,175 ,184 ,147 ,116 ,99 ,84 ,74 ,67 ,58 ,39 ,35 ,21 ,14 ,9 ,11 ,7 ,1 ,8 
