區域別,性別,總計,零歲,一歲,二歲,三歲,四歲,五歲,六歲,七歲,八歲,九歲,十歲,十一歲,十二歲,十三歲,十四歲,十五歲,十六歲,十七歲,十八歲,十九歲,二十歲,二一歲,二二歲,二三歲,二四歲,二五歲,二六歲,二七歲,二八歲,二九歲,三十歲,三一歲,三二歲,三三歲,三四歲,三五歲,三六歲,三七歲,三八歲,三九歲,四十歲,四一歲,四二歲,四三歲,四四歲,四五歲,四六歲,四七歲,四八歲,四九歲,五十歲,五一歲,五二歲,五三歲,五四歲,五五歲,五六歲,五七歲,五八歲,五九歲,六十歲,六一歲,六二歲,六三歲,六四歲,六五歲,六六歲,六七歲,六八歲,六九歲,七十歲,七一歲,七二歲,七三歲,七四歲,七五歲,七六歲,七七歲,七八歲,七九歲,八十歲,八一歲,八二歲,八三歲,八四歲,八五歲,八六歲,八七歲,八八歲,八九歲,九十歲,九一歲,九二歲,九三歲,九四歲,九五歲,九六歲,九七歲,九八歲,九九歲,一百歲以上
桃園區,男,225520,1625,1729,1917,1938,2127,2303,2425,2560,2597,2655,2747,2826,2488,2260,2352,2515,2427,2461,2501,2370,2560,2694,3082,3220,2954,3135,3340,3347,3272,3266,3215,3195,3165,3282,3271,3143,3095,3084,3449,3668,3857,4019,4079,4057,3896,3816,3880,3855,3463,3462,3424,3437,3474,3558,3325,3212,3172,3228,3108,3049,3051,2859,2702,2643,2698,2547,2392,2496,2316,2182,2069,2031,1877,1529,1388,1150,990,706,713,727,695,619,562,484,402,331,262,230,214,175,159,179,114,110,82,56,45,37,29,14,24
桃園區,女,243474,1620,1686,1787,1905,1913,2091,2369,2425,2486,2371,2495,2589,2376,2057,2309,2169,2160,2217,2307,2249,2551,2651,2903,2999,2855,2922,3243,3154,3120,3273,3228,3050,3325,3318,3387,3268,3096,3291,3661,3954,4296,4482,4692,4543,4578,4355,4539,4366,4032,3943,3797,3915,4035,3934,3909,3694,3589,3650,3731,3656,3497,3418,3237,3098,3205,3099,2864,3093,2891,2721,2587,2449,2206,2003,1800,1404,1246,893,948,980,955,847,860,750,621,571,499,421,377,275,218,184,147,158,101,85,51,51,42,12,44
中壢區,男,209619,1662,1736,1887,1916,2090,2140,2320,2281,2363,2275,2423,2428,2023,1785,2021,2132,2042,2117,2182,2163,2308,2437,2798,2762,2715,2689,3062,3036,3132,3207,3130,3149,3279,3377,3290,3206,3084,3130,3485,3617,3788,3866,3979,3782,3854,3582,3658,3545,3107,3123,3062,3184,3116,3071,3102,2828,2799,2922,2919,2785,2755,2713,2611,2503,2421,2279,2204,2380,2202,1937,1848,1871,1559,1316,1298,954,851,642,639,635,605,536,492,426,324,325,261,244,201,199,237,202,224,221,165,123,104,55,43,22,41
中壢區,女,220062,1596,1618,1701,1800,1932,2023,2167,2216,2297,2155,2229,2243,1891,1750,1831,1958,1912,1876,1893,1941,2119,2182,2499,2543,2485,2587,2905,2993,3066,3098,3125,3093,3154,3332,3243,3239,3205,3278,3619,3798,3984,4219,4119,4128,4057,3691,3894,3613,3327,3267,3236,3227,3514,3465,3206,3118,3213,3259,3201,3151,3167,3034,2865,2945,2874,2708,2662,2656,2579,2432,2338,2353,2222,1813,1688,1388,1190,906,944,932,960,849,735,730,603,514,491,382,312,272,217,197,164,99,99,73,63,38,36,15,36
大溪區,男,48023,322,345,358,393,411,410,416,468,442,427,458,459,409,379,434,443,459,462,459,515,536,598,626,641,653,720,756,738,742,698,727,757,740,732,737,650,605,654,707,765,826,805,814,743,730,781,796,724,683,664,667,661,762,717,761,718,739,682,746,715,709,673,706,701,715,721,587,569,584,491,481,497,450,321,329,278,204,160,175,196,184,145,136,137,112,108,111,78,89,64,66,61,52,46,31,14,23,14,11,5,4
大溪區,女,46824,308,320,319,369,356,364,430,444,445,375,437,441,378,343,360,415,370,425,421,452,508,497,600,611,595,659,641,684,668,609,667,658,656,657,638,670,577,620,671,715,724,724,777,778,745,700,739,745,666,703,679,678,672,664,669,650,717,695,710,709,753,735,694,662,677,628,629,665,592,585,536,555,501,405,380,309,284,207,213,243,209,227,190,186,174,162,131,131,152,92,75,70,68,45,39,24,29,17,17,4,12
楊梅區,男,89555,669,741,792,820,862,899,918,978,950,932,978,1003,826,805,864,898,933,902,976,1031,1070,1105,1220,1296,1162,1335,1374,1425,1367,1380,1419,1371,1453,1359,1445,1381,1257,1327,1384,1455,1565,1612,1607,1538,1584,1541,1465,1411,1301,1248,1250,1217,1245,1289,1238,1194,1245,1225,1354,1323,1318,1201,1130,1106,1104,1055,1006,968,948,871,822,792,750,570,537,385,353,286,285,281,234,233,215,200,173,143,129,108,93,73,75,68,60,41,30,32,17,16,9,8,16
楊梅區,女,89828,699,689,775,786,849,849,888,895,879,820,861,917,734,682,820,837,812,882,898,896,883,938,1109,1144,1152,1183,1351,1384,1408,1328,1350,1289,1301,1288,1331,1266,1198,1314,1419,1472,1649,1643,1661,1673,1509,1547,1535,1336,1355,1334,1274,1304,1369,1388,1330,1310,1327,1349,1307,1376,1421,1243,1339,1221,1137,1028,1027,1124,1010,890,812,863,776,589,577,423,384,327,316,324,303,340,318,290,259,208,195,177,150,111,113,77,77,56,50,43,28,15,9,8,18
蘆竹區,男,83362,586,701,741,756,820,850,974,938,986,948,974,1011,897,830,962,1064,1003,966,1064,1019,1068,1076,1251,1220,1114,1124,1235,1244,1249,1176,1160,1153,1172,1178,1097,1134,1054,1080,1207,1215,1356,1419,1433,1507,1531,1534,1575,1495,1320,1309,1309,1207,1359,1319,1357,1295,1209,1158,1224,1154,1129,1088,979,973,971,902,745,808,796,707,662,680,570,515,462,349,327,220,221,257,191,212,208,162,144,121,107,90,71,65,50,42,43,34,34,22,15,9,2,5,7
蘆竹區,女,85486,613,647,624,719,762,845,825,903,924,844,924,934,797,770,879,953,876,901,943,886,934,991,1189,1166,1039,1099,1213,1185,1141,1197,1197,1160,1104,1223,1135,1183,1046,1104,1294,1339,1474,1590,1686,1736,1659,1596,1630,1618,1452,1499,1432,1472,1465,1430,1430,1339,1253,1203,1212,1145,1168,1130,978,1037,977,848,833,872,849,814,770,797,663,557,512,390,354,232,281,321,288,263,235,213,198,172,143,133,137,102,86,70,48,39,41,35,23,19,11,7,11
