日期(年/月),單位,全國發電量_總計,全國發電量_抽蓄水力,全國發電量_火力_合計,全國發電量_火力_燃煤,全國發電量_火力_燃油,全國發電量_火力_燃氣,全國發電量_核能,全國發電量_再生能源_合計,全國發電量_再生能源_慣常水力,全國發電量_再生能源_地熱,全國發電量_再生能源_太陽光電,全國發電量_再生能源_風力,全國發電量_再生能源_生質能,全國發電量_再生能源_廢棄物,台電發電量_合計,台電發電量_抽蓄水力,台電發電量_火力_小計,台電發電量_火力_燃煤,台電發電量_火力_燃油,台電發電量_火力_燃氣,台電發電量_核能,台電發電量_再生能源_小計,台電發電量_再生能源_慣常慣常水力,台電發電量_再生能源_地熱,台電發電量_再生能源_太陽光電,台電發電量_再生能源_風力,民營電廠發電量_合計,民營電廠發電量_火力_小計,民營電廠發電量_火力_燃煤,民營電廠發電量_火力_燃氣,民營電廠發電量_再生能源_小計,民營電廠發電量_再生能源_慣常水力,民營電廠發電量_再生能源_地熱,民營電廠發電量_再生能源_太陽光電,民營電廠發電量_再生能源_風力,自用發電設備發電量_合計,自用發電設備發電量_火力_小計,自用發電設備發電量_火力_燃煤,自用發電設備發電量_火力_燃油,自用發電設備發電量_火力_燃氣,自用發電設備發電量_再生能源_小計,自用發電設備發電量_再生能源_慣常水力,自用發電設備發電量_再生能源_地熱,自用發電設備發電量_再生能源_太陽光電,自用發電設備發電量_再生能源_風力,自用發電設備發電量_再生能源_生質能,自用發電設備發電量_再生能源_廢棄物
200401,百萬度,15561.994221,286.88372,11305.922858,8347.212798,1504.443938,1454.266122,3508.0196,461.168043,175.176192,0,0.045,3.008571,30.705303,252.232977,10661.838359,286.88372,6690.321542,4770.722261,1016.907881,902.6914,3508.0196,176.613497,175.140592,0,0,1.472905,1779.5329,1779.4973,1291.1047,488.3926,0.0356,0.0356,0,0,0,3120.622962,2836.104016,2285.385837,487.536057,63.182122,284.518946,0,0,0.045,1.535666,30.705303,252.232977
200402,百萬度,15323.029454,257.31024,11411.17866,8410.522754,1338.601227,1662.054679,3100.5878,553.952754,295.443414,0,0.046,2.115363,32.368583,223.979394,9938.792795,257.31024,6286.97584,4602.705793,903.518147,780.7519,3100.5878,293.918915,293.140214,0,0,0.778701,2330.018159,2327.714959,1526.3459,801.369059,2.3032,2.3032,0,0,0,3054.2185,2796.487861,2281.471061,435.08308,79.93372,257.730639,0,0,0.046,1.336662,32.368583,223.979394
200403,百萬度,17056.263907,259.64424,12928.366318,8785.344556,1225.597435,2917.424327,3270.1434,598.109949,318.648257,0,0.046,2.451646,28.331765,248.632281,10928.219489,259.64424,7079.215689,4647.735143,700.178246,1731.3023,3270.1434,319.21616,318.365057,0,0,0.851103,2740.175891,2739.892691,1642.3442,1097.548491,0.2832,0.2832,0,0,0,3387.868527,3109.257938,2495.265213,525.419189,88.573536,278.610589,0,0,0.046,1.600543,28.331765,248.632281
200404,百萬度,17123.718616,260.83872,13405.240975,8912.738329,1086.034845,3406.467801,2939.4112,518.227721,287.594818,0,0.047,1.2646,29.545149,199.776154,11020.037162,260.83872,7531.769207,4827.256671,628.696736,2075.8158,2939.4112,288.018035,287.560418,0,0,0.457617,2750.226372,2750.191972,1502.4105,1247.781472,0.0344,0.0344,0,0,0,3353.455082,3123.279796,2583.071158,457.338109,82.870529,230.175286,0,0,0.047,0.806983,29.545149,199.776154
200405,百萬度,19479.357215,293.04571,14960.437081,9946.652082,1550.112671,3463.672328,3648.1608,577.713624,326.301325,0,0.047,0.868636,29.067204,221.429459,13000.127753,293.04571,8732.313724,5537.514044,1071.64828,2123.1514,3648.1608,326.607519,326.237825,0,0,0.369694,3089.450598,3089.387098,1826.1414,1263.245698,0.0635,0.0635,0,0,0,3389.778864,3138.736259,2582.996638,478.464391,77.27523,251.042605,0,0,0.047,0.498942,29.067204,221.429459
200406,百萬度,19642.066466,282.58188,15151.140339,10364.939476,1499.196532,3287.004331,3596.8882,611.456047,321.615425,0,0.047,1.309914,28.851034,259.632674,12722.428689,282.58188,8520.721074,5716.562981,946.741893,1857.4162,3596.8882,322.237535,321.615425,0,0,0.62211,3335.372967,3335.372967,1983.24182,1352.131147,0,0,0,0,0,3584.26481,3295.046298,2665.134675,552.454639,77.456984,289.218512,0,0,0.047,0.687804,28.851034,259.632674
200407,百萬度,20921.64661,271.38472,16344.378175,10782.474581,1745.682735,3816.220859,3690.646,615.237715,302.547738,0,0.047,0.629355,28.690305,283.323317,13555.181094,271.38472,9293.475259,5824.853061,1271.269498,2197.3527,3690.646,299.675115,299.376638,0,0,0.298477,3651.605539,3648.434439,2116.442216,1531.992223,3.1711,3.1711,0,0,0,3714.859977,3402.468477,2841.179304,474.413237,86.875936,312.3915,0,0,0.047,0.330878,28.690305,283.323317
200408,百萬度,21055.958148,316.064215,16561.348342,10829.519231,1893.317246,3838.511865,3568.8196,609.725991,300.599942,0,0.047,0.790886,26.571576,281.716587,13751.498605,316.064215,9570.15866,5895.3959,1365.85196,2308.9108,3568.8196,296.45613,296.145342,0,0,0.310788,3617.669468,3613.214868,2152.842493,1460.372375,4.4546,4.4546,0,0,0,3686.790075,3377.974814,2781.280838,527.465286,69.22869,308.815261,0,0,0.047,0.480098,26.571576,281.716587
200409,百萬度,19506.663973,293.17108,15508.929759,10470.835982,1783.603644,3254.490133,3113.2388,591.324334,286.03379,0,0.049,0.830843,27.394216,277.016485,12259.900262,293.17108,8573.060796,5619.780441,1202.526255,1750.7541,3113.2388,280.429586,279.96479,0,0,0.464796,3500.906268,3494.837268,2053.70233,1441.134938,6.069,6.069,0,0,0,3745.857443,3441.031695,2797.353211,581.077389,62.601095,304.825748,0,0,0.049,0.366047,27.394216,277.016485
200410,百萬度,18086.881837,252.803441,14380.074267,10073.760094,1279.150073,3027.1641,2955.2686,498.735529,221.916324,0,0.052,4.113674,28.770038,243.883493,11229.410002,252.803441,7800.845115,5236.634775,735.32704,1828.8833,2955.2686,220.492846,218.036274,0,0,2.456572,2930.811799,2926.931749,1803.836863,1123.094886,3.88005,3.88005,0,0,0,3926.660036,3652.297403,3033.288456,543.823033,75.185914,274.362633,0,0,0.052,1.657102,28.770038,243.883493
